fico,ltv,coborrower,dti,state,default
831,103,N,38,CA,0
676,71,N,20,AZ,0
824,91,N,27,CA,0
675,71,Y,41,CA,0
631,66,Y,40,CA,0
616,58,N,27,AZ,0
573,59,N,44,AZ,0
678,83,Y,31,AZ,0
619,67,N,42,CA,0
704,68,N,35,AZ,0
822,95,N,34,CA,0
723,86,N,39,CA,0
631,61,N,12,AZ,0
562,66,N,24,AZ,0
755,96,N,15,AZ,0
842,89,N,26,FL,0
718,72,N,26,CA,0
554,58,Y,12,CA,0
603,62,N,43,CA,0
690,68,N,11,FL,0
831,91,N,39,CA,0
757,75,N,24,CA,0
734,91,N,16,CA,0
684,79,N,36,AZ,0
834,105,Y,32,CA,0
826,103,N,42,CA,0
741,84,N,19,CA,0
714,74,Y,29,CA,0
596,68,Y,44,CA,0
604,59,N,27,CA,0
730,80,Y,35,FL,0
634,65,Y,39,CA,0
715,92,N,39,AZ,0
560,65,N,24,AZ,1
731,72,Y,18,AZ,0
817,97,N,21,AZ,0
841,85,N,30,CA,0
761,75,N,13,CA,0
769,97,N,27,AZ,0
645,83,N,41,FL,0
615,72,N,16,CA,0
580,71,N,15,CA,0
632,76,Y,31,FL,0
771,88,N,40,FL,0
688,86,N,20,CA,0
751,74,N,43,AZ,0
744,73,N,14,CA,0
592,57,N,39,CA,0
680,68,N,43,CA,0
686,79,N,31,CA,0
627,70,N,30,CA,0
778,92,N,14,CA,0
700,79,N,23,CA,0
811,81,N,25,FL,0
614,59,N,23,CA,0
623,69,N,13,AZ,0
729,80,Y,35,AZ,0
564,69,N,38,AZ,1
736,89,N,11,AZ,0
789,82,N,40,AZ,0
625,77,N,15,AZ,0
729,92,Y,36,FL,0
781,80,N,26,CA,0
721,71,N,41,CA,0
750,75,N,36,CA,0
786,99,N,27,CA,1
837,104,Y,17,AZ,0
681,89,Y,34,CA,0
614,78,N,15,AZ,0
612,60,N,20,CA,0
802,103,N,12,CA,0
742,95,N,18,CA,0
763,90,N,19,CA,0
810,102,N,21,FL,0
593,70,Y,28,CA,1
621,61,Y,41,CA,0
773,98,N,10,AZ,0
554,58,N,23,CA,0
663,76,Y,25,AZ,0
768,89,N,35,FL,0
766,99,N,25,CA,0
612,75,N,34,CA,0
622,73,N,11,CA,0
727,88,Y,10,AZ,0
765,88,N,29,AZ,0
680,82,Y,29,AZ,0
769,94,N,16,AZ,0
601,68,N,24,CA,0
822,101,N,15,CA,0
700,85,N,16,AZ,0
720,89,N,33,CA,0
590,59,N,33,CA,0
585,78,N,31,AZ,0
630,67,N,17,CA,0
766,94,N,24,CA,0
715,90,N,10,AZ,0
596,67,Y,43,FL,0
811,99,N,41,CA,0
688,69,Y,32,CA,0
786,101,Y,30,CA,0
561,67,Y,33,CA,0
580,57,Y,22,CA,0
815,82,N,28,CA,0
668,66,Y,21,CA,0
770,96,N,18,CA,0
577,62,N,43,CA,0
580,57,N,14,CA,0
771,78,N,15,CA,0
695,73,N,14,CA,0
823,97,N,31,AZ,0
624,65,N,18,CA,0
605,67,Y,43,AZ,0
642,71,Y,26,CA,0
553,51,Y,20,CA,0
698,75,N,34,CA,0
818,90,N,39,AZ,0
733,73,N,29,CA,0
686,71,N,35,AZ,0
598,72,Y,21,FL,0
758,93,N,10,CA,0
826,88,Y,11,CA,0
571,70,N,44,AZ,0
697,88,N,39,CA,0
841,97,N,25,CA,0
558,57,N,20,CA,0
718,83,N,12,CA,0
575,68,N,44,CA,0
559,74,N,36,AZ,0
660,76,Y,22,CA,0
684,83,N,22,CA,0
842,98,N,31,FL,0
742,92,Y,39,AZ,0
828,90,N,10,CA,0
786,94,N,10,CA,0
782,98,N,43,CA,0
813,90,N,40,FL,0
813,81,N,16,AZ,0
742,81,Y,38,CA,0
805,89,N,11,CA,0
552,69,N,30,CA,0
628,75,N,21,AZ,0
773,99,N,27,AZ,0
653,67,N,21,AZ,0
785,95,N,24,FL,0
832,95,N,20,CA,0
591,57,N,20,AZ,0
743,85,N,19,AZ,0
774,91,Y,36,AZ,0
839,94,N,19,CA,0
598,67,N,24,CA,0
588,75,N,10,CA,0
647,83,N,30,AZ,0
810,97,N,29,CA,0
645,77,N,26,CA,0
745,73,N,36,FL,0
769,86,N,11,CA,0
697,80,N,22,CA,0
644,64,Y,23,CA,0
668,80,N,25,CA,0
660,72,N,20,CA,0
739,79,N,30,AZ,0
838,99,N,36,CA,0
691,85,Y,26,CA,0
598,76,N,30,CA,0
617,74,N,29,CA,0
835,100,N,16,AZ,0
579,63,N,20,FL,0
796,87,N,38,FL,0
790,100,N,38,CA,0
762,80,N,40,AZ,0
660,79,Y,11,FL,0
582,76,N,36,CA,0
622,61,N,20,CA,0
681,84,N,44,FL,0
640,75,N,34,CA,0
682,70,Y,41,AZ,0
737,86,N,34,AZ,0
718,92,Y,12,CA,0
658,70,Y,15,CA,0
761,96,N,37,AZ,0
725,73,N,19,CA,0
562,70,Y,37,AZ,0
679,72,N,14,CA,0
574,73,N,22,CA,0
725,92,N,25,AZ,0
579,72,N,30,AZ,0
810,84,N,42,CA,0
800,101,N,39,CA,0
688,75,N,39,CA,0
822,97,N,39,CA,0
726,81,N,11,AZ,0
600,57,N,17,FL,0
841,96,N,27,FL,0
719,73,Y,23,AZ,0
847,99,N,17,AZ,0
593,66,N,12,CA,0
703,86,N,35,CA,0
779,81,N,17,AZ,0
848,107,N,25,FL,0
681,66,Y,31,CA,0
785,85,N,13,CA,0
658,72,N,23,FL,0
824,87,N,21,CA,0
797,100,Y,19,FL,0
785,80,N,19,CA,0
618,68,Y,25,CA,0
740,92,N,21,CA,0
767,99,N,22,CA,0
671,69,N,29,CA,0
823,99,N,32,CA,0
738,82,N,23,AZ,0
631,66,Y,42,CA,0
552,59,N,42,CA,0
768,79,N,17,CA,0
569,69,Y,33,AZ,0
628,66,N,32,CA,0
741,84,N,39,AZ,0
689,80,N,20,CA,0
644,83,Y,31,AZ,0
609,70,N,20,AZ,0
656,69,N,13,CA,0
705,92,N,38,CA,0
740,81,N,25,AZ,0
556,65,N,30,CA,0
680,80,N,12,CA,0
764,94,N,13,CA,0
629,82,N,23,AZ,0
777,84,N,35,AZ,0
560,66,Y,42,CA,0
805,88,N,34,AZ,0
783,101,N,37,CA,0
805,91,N,22,AZ,0
610,75,N,39,CA,0
815,89,N,44,CA,0
737,92,N,36,CA,0
601,60,N,14,CA,0
751,79,N,19,AZ,0
759,83,N,41,CA,0
557,73,Y,18,CA,0
702,72,N,22,CA,0
669,85,Y,25,AZ,0
743,93,N,23,CA,0
838,96,N,40,CA,0
657,70,N,36,CA,0
639,76,N,13,CA,0
566,55,N,21,CA,0
805,97,Y,43,AZ,0
769,98,N,37,CA,1
797,96,N,22,CA,0
730,72,N,23,CA,0
645,63,N,12,CA,0
616,77,Y,37,CA,0
631,71,Y,19,AZ,0
693,87,Y,36,CA,0
748,74,N,24,CA,0
748,89,Y,29,FL,0
570,56,N,40,CA,0
720,88,N,31,FL,0
588,65,Y,15,FL,0
818,92,N,40,FL,0
630,82,N,43,CA,0
826,105,N,10,AZ,0
594,64,Y,14,AZ,0
829,91,N,20,AZ,0
572,73,Y,38,CA,0
740,74,N,31,CA,0
655,63,N,26,CA,0
636,77,N,13,CA,0
763,95,N,28,FL,0
610,65,N,11,FL,0
569,61,N,44,AZ,0
792,93,Y,28,AZ,0
551,54,Y,35,CA,0
762,98,Y,42,FL,0
833,91,Y,15,AZ,0
670,70,N,25,AZ,0
564,68,N,20,CA,0
550,62,N,13,FL,0
706,84,N,38,AZ,0
740,74,N,40,AZ,0
591,55,N,13,CA,0
641,65,N,42,CA,0
742,83,N,22,CA,0
665,84,N,41,AZ,0
844,103,N,32,AZ,0
849,107,N,42,AZ,0
579,66,Y,14,CA,0
686,77,N,25,CA,0
790,97,N,22,CA,0
631,66,N,30,AZ,0
585,72,N,25,AZ,1
656,82,N,31,AZ,0
672,75,N,30,AZ,0
631,71,N,39,CA,0
708,85,Y,34,CA,0
607,75,N,12,CA,1
810,92,N,13,CA,0
672,75,N,40,CA,0
754,87,N,40,FL,0
567,54,N,33,AZ,0
550,66,N,30,AZ,0
583,68,N,42,CA,0
635,83,N,40,AZ,1
845,109,N,39,CA,0
751,77,N,27,CA,0
843,97,N,17,CA,0
553,70,N,29,CA,0
572,53,N,22,CA,1
784,99,N,22,AZ,0
617,67,Y,23,CA,0
814,101,N,44,CA,0
727,84,N,26,CA,0
579,53,N,17,CA,0
824,94,N,26,AZ,0
814,85,N,42,AZ,0
823,94,N,43,FL,0
559,53,Y,14,CA,0
717,79,N,33,FL,0
665,73,N,24,CA,0
609,79,N,43,CA,0
770,89,Y,14,CA,0
563,54,N,40,AZ,1
733,87,N,33,AZ,0
805,103,N,36,FL,0
739,79,N,17,FL,0
727,76,N,39,FL,0
761,79,N,19,AZ,0
593,57,N,14,CA,0
630,66,N,23,CA,0
820,94,Y,18,CA,0
826,96,N,35,AZ,0
554,65,N,18,AZ,0
768,90,N,21,CA,0
631,72,N,12,CA,0
821,105,N,42,CA,0
636,83,N,24,CA,0
693,85,Y,15,CA,0
610,59,N,19,CA,0
596,78,N,25,FL,0
611,58,N,37,FL,0
761,97,N,20,AZ,0
640,72,Y,23,AZ,0
562,58,Y,19,CA,0
698,69,Y,16,AZ,0
772,99,N,15,AZ,0
730,95,N,43,AZ,0
687,78,Y,44,FL,0
737,93,N,18,AZ,1
765,98,N,27,AZ,0
720,87,Y,42,CA,0
613,59,N,36,CA,0
561,69,N,22,AZ,0
656,81,N,28,AZ,0
792,91,N,39,AZ,0
587,62,Y,30,FL,0
657,76,N,21,CA,0
610,74,N,28,AZ,0
725,91,N,13,AZ,0
588,64,N,36,CA,0
785,100,N,26,AZ,0
712,72,Y,39,CA,0
619,71,N,31,AZ,0
635,61,Y,18,AZ,0
614,78,N,25,AZ,1
636,65,N,11,CA,0
666,65,Y,29,CA,0
679,77,N,21,CA,0
720,80,Y,34,CA,0
787,85,N,41,AZ,0
779,97,N,23,AZ,0
575,64,N,20,CA,0
615,78,N,41,CA,0
795,86,N,35,CA,0
654,63,Y,44,CA,0
736,73,N,18,CA,0
569,56,N,26,FL,1
599,68,N,15,AZ,0
591,72,Y,33,FL,0
749,94,N,44,FL,0
783,90,N,38,CA,0
728,77,Y,10,CA,0
656,71,N,22,CA,0
645,67,Y,42,CA,0
835,94,N,27,FL,0
769,81,N,42,CA,0
736,77,Y,32,AZ,0
578,61,Y,30,AZ,0
737,84,N,36,AZ,0
647,71,Y,22,FL,0
631,71,N,34,CA,0
619,64,Y,40,CA,0
615,67,N,28,CA,0
773,97,N,33,CA,0
769,79,Y,35,AZ,0
606,77,Y,39,FL,0
787,85,N,42,CA,0
821,102,N,38,FL,0
763,87,N,18,FL,0
720,91,N,29,FL,0
764,78,N,42,CA,0
654,72,N,25,CA,0
564,67,Y,21,CA,0
760,97,Y,10,AZ,0
724,72,N,44,AZ,0
603,78,N,11,FL,0
592,65,N,21,CA,0
729,91,N,10,CA,0
554,63,Y,40,AZ,0
699,81,Y,25,CA,0
584,74,N,39,CA,0
701,84,N,18,AZ,0
777,93,N,34,AZ,0
804,92,N,22,CA,0
594,77,N,26,AZ,0
641,82,N,35,CA,0
830,106,N,18,AZ,0
758,93,N,31,FL,0
686,70,N,38,AZ,0
650,66,N,18,FL,0
632,73,N,23,CA,0
674,85,Y,40,CA,0
591,60,Y,10,CA,0
813,92,N,12,CA,0
692,83,N,44,AZ,1
760,97,N,25,AZ,0
768,94,N,14,CA,0
654,69,N,42,CA,0
848,94,N,25,AZ,0
644,77,N,37,CA,0
567,55,N,19,AZ,0
809,89,N,18,CA,0
558,52,Y,16,CA,0
561,52,N,37,CA,0
677,67,N,38,CA,0
842,96,N,29,AZ,0
643,82,N,18,AZ,0
662,79,Y,40,CA,0
632,63,Y,11,AZ,0
703,83,Y,18,FL,0
683,67,Y,36,CA,0
629,75,N,35,CA,0
628,70,N,36,CA,0
755,84,N,36,CA,0
795,97,N,17,CA,0
646,62,N,22,CA,0
550,57,Y,26,AZ,0
696,78,Y,26,CA,0
738,73,N,37,CA,0
644,64,N,44,CA,0
719,86,N,30,CA,0
817,99,N,38,CA,0
692,84,N,22,CA,0
792,81,N,33,CA,0
713,92,Y,15,CA,0
710,84,Y,20,AZ,0
800,80,N,37,CA,0
831,92,N,11,FL,0
838,97,Y,44,AZ,0
669,66,N,18,CA,0
751,76,N,30,CA,0
818,93,N,22,AZ,0
760,76,N,43,FL,0
743,95,Y,38,CA,0
750,90,N,15,AZ,0
577,56,N,19,AZ,0
617,68,N,29,CA,0
634,82,N,35,FL,0
644,72,Y,14,AZ,0
651,84,Y,23,FL,0
586,60,Y,14,CA,0
598,77,N,29,AZ,0
652,79,N,26,AZ,0
683,85,N,37,AZ,0
772,97,N,14,AZ,0
601,71,N,42,CA,0
685,82,N,27,CA,0
735,91,Y,25,CA,0
774,100,N,14,CA,0
746,77,N,26,AZ,0
611,81,N,29,CA,0
612,58,N,14,FL,0
728,94,N,26,CA,0
714,73,Y,22,AZ,0
835,93,N,35,CA,0
707,88,N,22,CA,0
754,74,N,42,FL,0
703,72,Y,27,CA,0
629,62,N,31,CA,0
606,80,Y,31,CA,0
746,83,N,20,CA,0
821,97,N,20,CA,0
837,92,N,32,AZ,0
823,104,N,13,AZ,0
569,65,N,44,AZ,0
804,103,N,34,AZ,0
722,86,N,43,AZ,0
788,98,N,32,CA,0
686,70,Y,36,CA,0
555,54,Y,17,CA,0
735,86,N,41,CA,0
710,72,Y,41,AZ,0
627,83,N,27,AZ,0
753,79,N,10,CA,0
680,71,N,42,AZ,0
845,93,N,19,AZ,0
639,80,Y,20,CA,0
615,65,N,33,CA,0
651,80,N,38,CA,0
556,64,N,10,CA,0
644,84,N,17,AZ,0
813,92,N,10,AZ,0
833,96,N,25,CA,0
814,94,N,41,AZ,0
683,85,Y,29,CA,0
612,76,N,25,CA,1
725,93,N,14,AZ,0
656,65,N,38,CA,0
839,94,N,14,AZ,0
684,82,Y,30,CA,0
709,75,N,27,AZ,0
837,94,N,16,FL,0
742,85,Y,26,CA,0
611,59,Y,22,CA,0
600,78,N,25,AZ,0
786,84,N,10,AZ,0
832,86,N,29,AZ,0
572,71,Y,27,FL,0
667,78,N,16,CA,0
648,62,N,13,AZ,0
563,69,Y,18,CA,0
655,64,Y,33,FL,0
834,103,N,10,AZ,0
725,81,N,30,CA,0
624,72,N,14,AZ,0
654,79,Y,16,CA,0
559,54,Y,23,AZ,0
789,91,N,32,CA,0
731,76,N,24,FL,0
552,52,N,33,CA,0
666,75,N,35,CA,0
575,69,Y,26,CA,0
664,86,N,32,CA,0
592,61,Y,11,AZ,0
762,78,N,38,CA,0
767,98,N,13,FL,0
664,74,N,37,CA,0
787,89,N,37,FL,0
660,70,Y,18,AZ,0
834,94,N,34,AZ,0
695,85,N,26,AZ,0
662,80,N,22,FL,0
797,90,N,30,CA,0
792,96,N,12,AZ,0
837,85,N,15,CA,0
769,83,Y,42,FL,0
609,69,N,11,FL,0
630,65,N,30,CA,0
779,80,N,33,AZ,0
736,93,N,35,CA,0
559,57,N,39,CA,0
683,80,Y,40,CA,0
651,79,N,23,CA,0
815,96,N,22,AZ,0
766,94,N,32,AZ,0
679,89,N,42,CA,0
664,73,N,40,CA,0
795,81,N,30,CA,0
559,56,Y,40,CA,0
635,81,N,22,CA,0
576,76,Y,13,FL,0
811,102,N,12,AZ,0
600,78,N,30,CA,0
693,70,N,18,CA,0
836,103,N,44,CA,0
784,78,N,23,CA,0
628,76,N,25,AZ,0
626,62,N,25,CA,0
819,101,N,38,CA,0
738,87,N,26,FL,0
679,81,Y,27,AZ,0
823,86,N,32,CA,0
788,97,N,39,CA,0
787,98,N,39,FL,0
611,58,N,20,FL,0
673,72,N,12,AZ,0
575,69,N,35,CA,0
608,65,Y,32,AZ,0
754,75,N,28,FL,0
707,69,Y,25,CA,0
639,69,N,31,CA,0
666,72,Y,25,AZ,0
784,91,N,12,AZ,0
588,72,N,43,CA,0
615,72,N,28,CA,0
711,87,N,21,CA,0
608,66,N,23,CA,0
650,67,N,21,AZ,0
687,81,N,17,AZ,0
564,52,N,26,CA,0
566,58,Y,29,CA,0
708,72,N,23,CA,0
563,69,Y,34,CA,0
832,99,N,24,CA,0
617,73,N,26,AZ,0
777,98,N,35,CA,0
720,77,N,17,CA,1
586,77,N,22,CA,0
720,84,Y,32,CA,0
840,106,N,20,CA,0
712,72,N,44,AZ,0
617,81,N,27,CA,0
625,78,N,10,CA,0
569,53,N,18,AZ,0
697,78,Y,18,AZ,0
604,79,N,25,CA,0
795,101,N,20,CA,0
558,52,N,17,AZ,0
641,80,N,38,CA,0
693,82,N,13,AZ,0
586,71,N,25,CA,0
647,67,N,34,CA,0
610,58,Y,21,FL,0
797,95,N,37,CA,0
638,66,N,21,CA,0
752,97,N,42,CA,0
797,95,N,33,CA,0
618,69,N,16,AZ,0
735,91,N,25,CA,0
756,78,N,24,CA,0
807,92,Y,11,FL,0
731,81,N,21,CA,0
627,72,N,17,CA,0
593,76,N,36,AZ,0
706,84,Y,43,CA,0
